,fecha_venta,antiguedad_propiedad,distancia_al_metro,tiendas_cercanas,latitud,longitud,precio_uf_m2
0,2013.3329999999999,10.8,252.5822,1.0,-33.46459999999999,-70.63046,117.5
1,2013.3329999999999,37.2,186.5101,9.0,-33.467029999999994,-70.64264999999997,78.3
2,2013.5829999999999,35.4,318.5292,9.0,-33.46070999999999,-70.64068999999998,78.0
3,2013.4170000000001,0.0,292.9978,6.0,-33.46744,-70.64457999999998,73.6
4,2012.8329999999999,0.0,292.9978,6.0,-33.46744,-70.64457999999998,71.0
5,2013.25,0.0,292.9978,6.0,-33.46744,-70.64457999999998,70.1
6,2013.3329999999999,0.0,292.9978,6.0,-33.46744,-70.64457999999998,69.7
7,2013.25,40.9,122.3619,8.0,-33.457559999999994,-70.64229999999998,67.7
8,2013.5,15.3,370.0,1.0,,,66.0
9,2012.833,15.3,370.0,1.0,,,66.0
10,2013.5,6.5,90.45606,9.0,-33.46432999999999,-70.64309999999998,63.9
11,2013.4170000000001,0.0,292.9978,6.0,-33.46744,-70.64457999999998,63.3
12,2013.0829999999999,41.4,281.205,8.0,-33.463449999999995,-70.64093000000001,63.3
13,2013.5,5.3,259.6607,6.0,-33.46585,-70.64515999999998,63.2
14,2013.0829999999999,38.6,804.6897,4.0,-33.46838,-70.63476999999997,62.9
15,2013.4170000000001,6.4,90.45606,9.0,-33.46432999999999,-70.64309999999998,62.2
16,2013.4170000000001,6.4,90.45606,9.0,-33.46432999999999,-70.64309999999998,62.2
17,2013.5,4.1,56.47425,7.0,-33.44743999999999,-70.63710999999998,62.1
18,2013.1670000000001,3.6,373.8389,10.0,-33.47322,-70.63765,61.9
19,2013.5829999999999,35.9,640.7391,3.0,-33.46562999999999,-70.63714999999998,61.5
20,2013.25,3.8,383.8624,5.0,-33.47085,-70.64390999999998,60.7
21,2013.0829999999999,41.3,124.9912,6.0,-33.45674,-70.64039,60.7
22,2012.917,23.5,423,,nan,nan,60.0
23,2013.333,23.5,423,,nan,nan,60.0
24,2013.5,16.6,289.3248,5.0,-33.47203,-70.64348000000001,59.6
25,2013.4170000000001,6.4,90.45606,9.0,-33.46432999999999,-70.64309999999998,59.5
26,2013.5829999999999,6.6,90.45606,9.0,-33.46432999999999,-70.64309999999998,59.0
27,2013.0829999999999,3.6,383.8624,5.0,-33.47085,-70.64390999999998,58.8
28,2013.5829999999999,6.6,90.45606,9.0,-33.46432999999999,-70.64309999999998,58.1
29,2013.3329999999999,6.3,90.45606,9.0,-33.46432999999999,-70.64309999999998,58.1
30,2013.0829999999999,6.2,90.45606,9.0,-33.46432999999999,-70.64309999999998,58.0
31,2012.9170000000001,3.5,49.66105,8.0,-33.448359999999994,-70.63756,57.8
32,2012.9170000000001,9.9,279.1726,7.0,-33.46527999999999,-70.64541,57.4
33,2013.0829999999999,7.1,451.2438,5.0,-33.46562999999999,-70.64694,57.1
34,2013.3329999999999,3.9,49.66105,8.0,-33.448359999999994,-70.63756,56.8
35,2013.5,8.5,104.8101,5.0,-33.45674,-70.64067,56.8
36,2012.9170000000001,5.9,90.45606,9.0,-33.46432999999999,-70.64309999999998,56.3
37,2012.6670000000001,3.1,383.8624,5.0,-33.47085,-70.64390999999998,56.2
38,2013.1670000000001,11.6,201.8939,8.0,-33.474889999999995,-70.64121,55.9
39,2013.5,8.5,104.8101,5.0,-33.45674,-70.64067,55.5
40,2012.8329999999999,0.0,185.4296,0.0,-33.461099999999995,-70.6317,55.3
41,2013.1670000000001,30.1,718.2937,3.0,-33.465090000000004,-70.63644000000001,55.3
42,2012.8329999999999,0.0,185.4296,0.0,-33.461099999999995,-70.6317,55.2
43,2012.75,15.4,205.36700000000002,7.0,-33.47418999999999,-70.64242999999998,55.1
44,2013.5829999999999,2.6,533.4762,4.0,-33.46445,-70.64765,55.0
45,2013.0829999999999,16.2,289.3248,5.0,-33.47203,-70.64348000000001,55.0
46,2013.25,3.8,383.8624,5.0,-33.47085,-70.64390999999998,55.0
47,2013.5,13.3,561.9845,5.0,-33.477459999999994,-70.64390999999998,54.8
48,2013.0829999999999,1.1,193.5845,6.0,-33.45571,-70.64089,54.4
49,2012.9170000000001,6.8,379.5575,10.0,-33.47342999999999,-70.63762,54.4
50,2012.8329999999999,3.4,56.47425,7.0,-33.44743999999999,-70.63710999999998,54.4
51,2013.083,4.2,243,,nan,nan,54.0
52,2012.083,4.2,243,,nan,nan,54.0
53,2013.5829999999999,2.7,533.4762,4.0,-33.46445,-70.64765,53.9
54,2012.8329999999999,4.6,259.6607,6.0,-33.46585,-70.64515999999998,53.7
55,2012.6670000000001,5.7,90.45606,9.0,-33.46432999999999,-70.64309999999998,53.5
56,2012.9170000000001,3.5,56.47425,7.0,-33.44743999999999,-70.63710999999998,53.5
57,2012.6670000000001,30.6,143.8383,8.0,-33.47154999999999,-70.64142,53.3
58,2013.3329999999999,14.1,289.3248,5.0,-33.47203,-70.64348000000001,53.3
59,2013.4170000000001,16.4,289.3248,5.0,-33.47203,-70.64348000000001,53.0
60,2012.9170000000001,15.9,289.3248,5.0,-33.47203,-70.64348000000001,53.0
61,2012.8329999999999,5.9,90.45606,9.0,-33.46432999999999,-70.64309999999998,52.7
62,2013.0,8.1,104.8101,5.0,-33.45674,-70.64067,52.5
63,2012.75,0.0,185.4296,0.0,-33.461099999999995,-70.6317,52.2
64,2013.5,5.2,390.5684,5.0,-33.46937,-70.64245,52.2
65,2013.0829999999999,0.0,274.0144,1.0,-33.4648,-70.63059,52.2
66,2012.9170000000001,8.0,104.8101,5.0,-33.45674,-70.64067,51.8
67,2012.6670000000001,1.1,329.9747,5.0,-33.472539999999995,-70.64394999999998,51.8
68,2013.0829999999999,16.1,289.3248,5.0,-33.47203,-70.64348000000001,51.7
69,2013.5,4.1,312.8963,5.0,-33.44591,-70.63955999999997,51.7
70,2013.0829999999999,8.1,104.8101,5.0,-33.45674,-70.64067,51.6
71,2013.4170000000001,10.5,279.1726,7.0,-33.46527999999999,-70.64541,51.6
72,2013.25,16.2,289.3248,5.0,-33.47203,-70.64348000000001,51.4
73,2013.4170000000001,16.4,289.3248,5.0,-33.47203,-70.64348000000001,51.0
74,2013.5829999999999,16.6,323.6912,6.0,-33.46840999999999,-70.6428,51.0
75,2012.75,0.0,338.9679,9.0,-33.45853,-70.64412999999998,50.8
76,2013.0,1.0,193.5845,6.0,-33.45571,-70.64089,50.7
77,2013.0,1.0,193.5845,6.0,-33.45571,-70.64089,50.7
78,2013.5829999999999,35.7,579.2083,2.0,-33.47239999999999,-70.64618999999998,50.5
79,2013.3329999999999,1.7,329.9747,5.0,-33.472539999999995,-70.64394999999998,50.4
80,2013.5,14.4,169.9803,1.0,-33.46369,-70.62979,50.2
81,2012.6670000000001,5.6,90.45606,9.0,-33.46432999999999,-70.64309999999998,50.0
82,2013.3329999999999,7.1,379.5575,10.0,-33.47342999999999,-70.63762,49.8
83,2012.6670000000001,1.5,23.382839999999998,7.0,-33.457719999999995,-70.64102,49.7
84,2013.25,5.4,390.5684,5.0,-33.46937,-70.64245,49.5
85,2013.25,16.5,323.655,6.0,-33.46840999999999,-70.64281,49.3
86,2013.25,16.5,323.655,6.0,-33.46840999999999,-70.64281,49.3
87,2013.4170000000001,9.7,421.47900000000004,5.0,-33.47246,-70.64477,49.3
88,2013.25,1.1,193.5845,6.0,-33.45571,-70.64089,49.0
89,2013.1670000000001,1.1,193.5845,6.0,-33.45571,-70.64089,48.6
90,2013.5829999999999,30.6,431.1114,10.0,-33.47122999999999,-70.63743000000001,48.5
91,2013.5829999999999,30.6,431.1114,10.0,-33.47122999999999,-70.63743000000001,48.5
92,2013.25,35.8,170.7311,7.0,-33.457190000000004,-70.64268999999999,48.5
93,2013.4170000000001,32.8,204.1705,8.0,-33.472359999999995,-70.63923,48.2
94,2013.25,34.4,126.7286,8.0,-33.45881,-70.64089,48.2
95,2013.0829999999999,13.2,150.9347,7.0,-33.457249999999995,-70.64251999999998,48.1
96,2013.3329999999999,19.2,383.7129,8.0,-33.462,-70.64477,48.1
97,2013.5,13.6,492.2313,5.0,-33.45515,-70.63736999999998,48.0
98,2012.9170000000001,8.9,1406.43,0.0,-33.47573,-70.62758000000001,48.0
99,2013.5,32.3,109.9455,10.0,-33.471819999999994,-70.64085999999998,48.0
100,2013.0829999999999,10.1,279.1726,7.0,-33.46527999999999,-70.64541,47.9
101,2013.0829999999999,10.1,279.1726,7.0,-33.46527999999999,-70.64541,47.9
102,2012.6670000000001,3.1,577.9615,6.0,-33.46200999999999,-70.64721999999998,47.7
103,2012.6670000000001,1.5,23.382839999999998,7.0,-33.457719999999995,-70.64102,47.7
104,2013.5,13.6,319.0708,6.0,-33.45495,-70.64277,47.4
105,2013.4170000000001,8.0,132.5469,9.0,-33.47297999999999,-70.63981,47.3
106,2013.5829999999999,13.3,561.9845,5.0,-33.477459999999994,-70.64390999999998,47.3
107,2012.6670000000001,32.9,87.30221999999999,10.0,-33.473,-70.64022,47.1
108,2013.0829999999999,17.2,189.5181,8.0,-33.46706999999999,-70.64308,47.1
109,2013.5,19.2,557.4780000000001,4.0,-33.464189999999995,-70.63797,47.0
110,2012.75,7.8,104.8101,5.0,-33.45674,-70.64067,47.0
111,2012.75,11.4,390.5684,5.0,-33.46937,-70.64245,46.8
112,2013.4170000000001,20.3,287.6025,6.0,-33.47041999999999,-70.64228,46.7
113,2013.0,18.3,82.88643,10.0,-33.473,-70.64026,46.6
114,2013.4170000000001,11.9,3171.329,0.0,-33.49115,-70.61775999999998,46.6
115,2013.0,33.5,563.2854,8.0,-33.47223,-70.63597,46.6
116,2013.0829999999999,20.6,737.9161,2.0,-33.47091999999999,-70.64738999999999,46.4
117,2013.1670000000001,16.2,289.3248,5.0,-33.47203,-70.64348000000001,46.2
118,2012.6670000000001,15.6,289.3248,5.0,-33.47203,-70.64348000000001,46.1
119,2013.1670000000001,33.2,121.7262,10.0,-33.471779999999995,-70.64058999999997,46.1
120,2013.3329999999999,34.5,324.9419,6.0,-33.468140000000005,-70.6417,46.0
121,2013.4170000000001,13.1,561.9845,5.0,-33.477459999999994,-70.64390999999998,45.9
122,2012.75,0.0,208.3905,6.0,-33.44618,-70.63843999999997,45.7
123,2012.9170000000001,2.1,451.2438,5.0,-33.46562999999999,-70.64694,45.5
124,2013.4170000000001,0.0,185.4296,0.0,-33.461099999999995,-70.6317,45.5
125,2013.25,2.3,184.3302,6.0,-33.45581,-70.64085999999998,45.4
126,2012.833,0.0,274.0144,1.0,33.4648,70.63059,45.4
127,2012.8329999999999,0.0,274.0144,1.0,-33.4648,-70.63059,45.4
128,2012.8329999999999,10.3,211.4473,1.0,-33.46417,-70.62998999999998,45.3
129,2013.4170000000001,4.3,432.0385,7.0,-33.470499999999994,-70.63777999999998,45.2
130,2013.5,16.4,3780.59,0.0,-33.422929999999994,-70.61202999999998,45.1
131,2013.1670000000001,1.1,193.5845,6.0,-33.45571,-70.64089,45.1
132,2013.4170000000001,0.0,338.9679,9.0,-33.45853,-70.64412999999998,44.9
133,2013.3329999999999,4.7,387.7721,9.0,-33.47117999999999,-70.63788000000001,44.8
134,2013.5,4.9,387.7721,9.0,-33.47117999999999,-70.63788000000001,44.7
135,2013.3329999999999,13.9,289.3248,5.0,-33.47203,-70.64348000000001,44.5
136,2013.4170000000001,40.1,123.7429,8.0,-33.46634999999999,-70.64329000000001,44.3
137,2012.9170000000001,34.8,190.0392,8.0,-33.46706999999999,-70.64312,44.3
138,2013.4170000000001,21.7,512.5487,4.0,-33.464,-70.63842,44.2
139,2013.5,14.1,3,500,nan,nan,44.0
140,2012.75,0.0,208.3905,6.0,-33.44618,-70.63843999999997,44.0
141,2013.583,14.1,3,500,nan,nan,44.0
142,2013.25,22.2,379.5575,10.0,-33.47342999999999,-70.63762,44.0
143,2013.25,17.3,444.1334,1.0,-33.46500999999999,-70.62729999999998,43.9
144,2013.4170000000001,13.6,492.2313,5.0,-33.45515,-70.63736999999998,43.8
145,2013.0829999999999,15.1,383.2805,7.0,-33.45735,-70.64464,43.7
146,2013.1670000000001,10.0,942.4664,0.0,-33.46843,-70.62406,43.5
147,2013.0829999999999,0.0,274.0144,1.0,-33.4648,-70.63059,43.5
148,2013.4170000000001,28.2,330.0854,8.0,-33.46408,-70.64010999999998,43.4
149,2012.75,3.2,489.8821,8.0,-33.46017,-70.64493999999998,43.2
150,2013.25,9.1,1402.016,0.0,-33.47569,-70.6276,43.2
151,2013.4170000000001,18.2,350.8515,1.0,-33.465439999999994,-70.63118999999998,43.1
152,2012.8329999999999,5.0,390.5684,5.0,-33.46937,-70.64245,43.1
153,2013.3329999999999,33.6,270.8895,0.0,-33.46281,-70.63265,42.9
154,2013.3329999999999,8.3,104.8101,5.0,-33.45674,-70.64067,42.8
155,2013.1670000000001,43.8,57.58945,7.0,-33.4575,-70.64068999999998,42.7
156,2013.0829999999999,14.0,438.8513,1.0,-33.464929999999995,-70.62729999999998,42.6
157,2012.6670000000001,12.9,492.2313,5.0,-33.45515,-70.63736999999998,42.5
158,2013.4170000000001,28.6,197.1338,6.0,-33.46630999999999,-70.64435999999998,42.5
159,2012.6670000000001,12.6,383.2805,7.0,-33.45735,-70.64464,42.5
160,2012.9170000000001,21.2,512.5487,4.0,-33.464,-70.63842,42.5
161,2013.0829999999999,13.3,336.0532,5.0,-33.447759999999995,-70.63438000000001,42.4
162,2013.0,13.2,492.2313,5.0,-33.45515,-70.63736999999998,42.3
163,2013.0,13.2,492.2313,5.0,-33.45515,-70.63736999999998,42.3
164,2013.5,35.3,616.5735,8.0,-33.469449999999995,-70.63642,42.3
165,2013.4170000000001,16.9,368.1363,8.0,-33.4575,-70.64451,42.3
166,2013.25,9.1,1402.016,0.0,-33.47569,-70.6276,42.3
167,2012.9170000000001,19.5,306.5947,9.0,-33.47033999999999,-70.63951,42.2
168,2013.1670000000001,21.3,537.7971,4.0,-33.46424999999999,-70.63813999999998,42.2
169,2012.6670000000001,33.4,186.9686,6.0,-33.456039999999994,-70.64210999999997,42.2
170,2012.75,15.9,289.3248,5.0,-33.47203,-70.64348000000001,42.1
171,2013.4170000000001,21.7,463.9623,9.0,-33.4603,-70.64457999999998,42.0
172,2012.8329999999999,12.5,561.9845,5.0,-33.477459999999994,-70.64390999999998,42.0
173,2013.25,13.3,250.63099999999997,7.0,-33.456059999999994,-70.64296999999998,42.0
174,2012.8329999999999,12.5,561.9845,5.0,-33.477459999999994,-70.64390999999998,42.0
175,2013.0829999999999,33.0,181.0766,9.0,-33.46697,-70.64262,42.0
176,2013.4170000000001,33.6,371.2495,8.0,-33.46253999999999,-70.64058999999997,41.9
177,2013.417,33.6,371.2495,8.0,33.46254,70.64059,41.9
178,2013.25,3.7,577.9615,6.0,-33.46200999999999,-70.64721999999998,41.6
179,2013.0,33.9,157.6052,7.0,-33.45627999999999,-70.64196,41.5
180,2013.5,13.7,250.63099999999997,7.0,-33.456059999999994,-70.64296999999998,41.4
181,2013.0829999999999,34.8,405.2134,1.0,-33.46348999999999,-70.63372,41.4
182,2013.3329999999999,16.4,289.3248,5.0,-33.47203,-70.64348000000001,41.2
183,2013.5,34.6,3085.17,0.0,-33.488,-70.6155,41.2
184,2013.5,34.6,3085.17,0.0,-33.488,-70.6155,41.2
185,2012.8329999999999,34.7,482.7581,5.0,-33.46432999999999,-70.63862999999998,41.1
186,2012.9170000000001,40.9,167.5989,5.0,-33.4563,-70.64026,41.0
187,2013.1670000000001,27.5,394.0173,7.0,-33.46305,-70.63994,41.0
188,2013.4170000000001,38.5,216.8329,7.0,-33.470859999999995,-70.64161999999997,41.0
189,2012.8329999999999,34.8,175.6294,8.0,-33.463469999999994,-70.64271,40.9
190,2013.25,6.5,376.1709,6.0,-33.44418,-70.63713,40.9
191,2013.4170000000001,7.5,639.6198,5.0,-33.46258,-70.64814,40.8
192,2013.0829999999999,35.5,640.7391,3.0,-33.46562999999999,-70.63714999999998,40.8
193,2012.9170000000001,28.0,372.6242,6.0,-33.46838,-70.64119000000001,40.8
194,2013.1670000000001,32.6,493.657,7.0,-33.45967999999999,-70.64522,40.6
195,2013.4170000000001,16.4,389.8219,6.0,-33.45412,-70.64273,40.6
196,2013.0829999999999,12.8,732.8528,0.0,-33.46668,-70.62518,40.6
197,2013.25,18.8,390.9696,7.0,-33.46923,-70.63986,40.6
198,2012.75,13.0,492.2313,5.0,-33.45515,-70.63736999999998,40.5
199,2013.1670000000001,1.9,372.1386,7.0,-33.46293,-70.64026,40.5
200,2013.0,16.9,967.4,4.0,-33.47872,-70.63408000000001,40.3
201,2012.6670000000001,34.5,623.4731,7.0,-33.46933,-70.63642,40.3
202,2013.5,11.8,533.4762,4.0,-33.46445,-70.64765,40.3
203,2012.6670000000001,29.1,506.1144,4.0,-33.46844999999999,-70.63888999999998,40.3
204,2012.75,29.3,529.7771,8.0,-33.47102,-70.63655,40.2
205,2012.9170000000001,32.4,265.0609,8.0,-33.470589999999994,-70.63986,40.2
206,2013.5,13.6,492.2313,5.0,-33.45515,-70.63736999999998,40.1
207,2013.4170000000001,17.2,390.5684,5.0,-33.46937,-70.64245,40.1
208,2013.0,nan,,nan,"nan,",nan,40.0
209,2013.4170000000001,17.1,967.4,4.0,-33.47872,-70.63408000000001,40.0
210,2012.6670000000001,34.9,179.4538,8.0,-33.46348999999999,-70.64245,39.7
211,2013.25,37.8,590.9292,1.0,-33.46153,-70.63559000000001,39.7
212,2012.6670000000001,30.9,161.942,9.0,-33.47353,-70.63965999999998,39.7
213,2013.4170000000001,19.2,616.4004,3.0,-33.467229999999994,-70.63767,39.6
214,2013.1670000000001,39.8,617.7134,2.0,-33.46576999999999,-70.63475,39.6
215,2012.8329999999999,18.0,373.3937,8.0,-33.4766,-70.64081999999998,39.5
216,2013.0,11.6,390.5684,5.0,-33.46937,-70.64245,39.4
217,2013.5829999999999,33.3,196.6172,7.0,-33.467009999999995,-70.64224,39.4
218,2012.9170000000001,13.0,492.2313,5.0,-33.45515,-70.63736999999998,39.3
219,2012.75,12.9,250.63099999999997,7.0,-33.456059999999994,-70.64296999999998,39.3
220,2013.0829999999999,34.0,157.6052,7.0,-33.45627999999999,-70.64196,39.1
221,2013.1670000000001,13.0,732.8528,0.0,-33.46668,-70.62518,39.0
222,2013.0829999999999,13.3,492.2313,5.0,-33.45515,-70.63736999999998,38.9
223,2013.0,39.6,480.6977,4.0,-33.46352999999999,-70.63884999999998,38.8
224,2013.5,32.8,377.8302,9.0,-33.46150999999999,-70.64349999999997,38.6
225,2013.3329999999999,9.0,1402.016,0.0,-33.47569,-70.6276,38.5
226,2012.75,7.8,104.8101,5.0,-33.45674,-70.64067,38.4
227,2013.5,38.3,439.7105,0.0,-33.46160999999999,-70.63422999999997,38.4
